Name,Total,Hospital,Local clinic,Rehabilitation and nursing hospital,"Health station at commune, ward, office, enterprise"
CA NUOC,12670,915,770,32,10917
Dong bang song Hong,2763,191,103,8,2450
Ha Noi,665,36,46,..,577
Ha Tay,..,..,..,..,..
Vinh Phuc,158,9,11,1,137
Bac Ninh,146,11,7,1,126
Quang Ninh,217,21,8,1,186
Hai Duong,287,17,5,1,263
Hai Phuong,255,24,6,1,224
Hung Yen,178,16,..,..,162
Thai Binh,305,18,..,1,285
Ha Nam,133,12,4,..,116
Nam Dinh,251,17,4,1,229
Ninh Binh,168,10,12,1,145
Trung du va mien nui phia Bac,2953,180,256,6,2505
Ha Giang,208,13,20,..,175
Cao Bang,238,16,23,..,199
Bac Kan,140,8,10,..,122
Tuyen Quang,166,12,13,1,140
Lao Cai,212,12,36,..,164
Yen Bai,210,12,19,..,178
Thai Nguyen,212,15,13,1,180
Lang Son,265,14,24,1,226
Bac Giang,269,15,24,1,229
Phu Tho,297,17,4,1,275
Dien Bien,135,10,18,..,106
Lai Chau,112,7,7,..,98
Son La,243,15,23,1,203
Hoa Binh,246,14,22,..,210
Bac Trung Bo va Duyen hai mien Trung,3282,213,169,10,2882
Thanh Hoa,685,35,14,1,634
Nghe An,546,24,43,1,478
Ha Tinh,300,17,20,1,262
Quang Binh,173,8,6,..,159
Quang Tri,158,11,5,1,141
Thua Thien Hue,181,13,14,1,152
Da Nang,69,12,..,1,56
Quang Nam,273,22,10,..,240
Quang Ngai,202,16,8,..,178
Binh Dinh,183,17,6,1,159
Phu Yen,132,11,13,1,106
Khanh Hoa,164,10,15,1,137
Ninh Thuan,75,4,5,1,63
Binh Thuan,141,13,10,..,117
Tay Nguyen,823,67,48,3,701
Kon Tum,116,9,9,1,96
Gia Lai,243,17,16,1,209
Dak Lak,202,20,1,..,180
Dak Nong,78,7,..,..,71
Lam Dong,184,14,22,1,145
Dong Nam Bo,1043,110,65,3,859
Binh Phuoc,117,9,5,..,102
Tay Ninh,112,12,4,1,95
Binh Duong,107,8,8,1,89
Dong Nai,201,17,13,..,171
Ba Ria - Vung Tau,96,10,6,..,80
Ho Chi Minh,410,54,29,1,322
Dong bang song Cuu Long,1806,154,129,2,1520
Long An,211,16,5,..,190
Tien Giang,201,16,16,..,169
Ben Tre,178,10,8,..,160
Tra Vinh,112,9,15,..,88
Vinh Long,116,9,6,..,101
Dong Thap,168,12,13,1,142
An Giang,180,15,11,..,154
Kien Giang,157,15,16,..,126
Can Tho,83,15,8,..,60
Hau Giang,80,8,8,..,64
Soc Trang,128,11,12,..,105
Bac Lieu,74,7,2,..,64
Ca Mau,118,11,9,1,97
